FID,LEVL_CODE,NUTS_ID,CNTR_CODE,NUTS_NAME,FID_1,Rowid_,FID_12,COUNT,AREA,OST,Rowid_1,FID_12_13,COUNT_1,AREA_1,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
0,1,DE1,DE,BADEN-WÜRTTEMBERG,DE1,1,2,22410536,2241053600.000000000000000,0,1,0,24281195,2428119500.000000000000000,20,372,352,87.947442825610523,35.927221455340245,2135469009.000000000000000,351,74,360,82
1,1,DEA,DE,NORDRHEIN-WESTFALEN,DEA,2,4,33620839,3362083900.000000000000000,0,2,1,36203171,3620317100.000000000000000,20,390,370,94.390688926116439,38.924027513823269,3417242252.000000000000000,363,77,381,87
2,1,DE7,DE,HESSEN,DE7,3,6,12791146,1279114600.000000000000000,0,3,2,14016059,1401605900.000000000000000,20,393,373,90.715337956268598,38.199630406109193,1271471529.000000000000000,367,76,375,84
3,1,DE4,DE,BRANDENBURG,DE4,4,9,8030794,803079400.000000000000000,1,4,3,8436789,843678900.000000000000000,20,360,340,70.954907844678829,32.924790075298155,598631586.000000000000000,336,59,337,64
4,1,DEB,DE,RHEINLAND-PFALZ,DEB,5,11,11136579,1113657900.000000000000000,0,5,4,12296511,1229651100.000000000000000,20,371,351,84.384157262169737,34.957291274341870,1037630718.000000000000000,347,73,348,79
5,1,DEF,DE,SCHLESWIG-HOLSTEIN,DEF,6,13,7624524,762452400.000000000000000,0,6,5,8679637,867963700.000000000000000,20,364,344,76.961044108181028,33.755651254609276,667993926.000000000000000,334,63,341,70
6,1,DEC,DE,SAARLAND,DEC,7,14,2651646,265164600.000000000000000,0,7,6,2875993,287599300.000000000000000,20,379,359,92.384041268528819,36.931181083634733,265695856.000000000000000,355,80,359,85
7,1,DEE,DE,SACHSEN-ANHALT,DEE,8,15,6696348,669634800.000000000000000,1,8,7,7184358,718435800.000000000000000,20,351,331,77.181063499341207,36.298204802297910,554496391.000000000000000,328,63,342,70
8,1,DED,DE,SACHSEN,DED,9,16,9511089,951108900.000000000000000,1,9,8,10351195,1035119500.000000000000000,20,379,359,84.114944119978418,40.393056423244268,870690189.000000000000000,349,67,346,75
9,1,DEG,DE,THÜRINGEN,DEG,10,19,5846148,584614800.000000000000000,1,10,9,6439787,643978700.000000000000000,20,361,341,86.177441583083422,36.795804921706271,554964368.000000000000000,335,79,335,81
10,1,DE2,DE,BAYERN,DE2,11,21,33241381,3324138100.000000000000000,0,11,10,36654792,3665479200.000000000000000,20,388,368,82.637331266263899,34.982353376769581,3029054189.000000000000000,360,73,368,77
11,1,DE3,DE,BERLIN,DE3,12,22,3143327,314332700.000000000000000,1,12,11,3233074,323307400.000000000000000,20,384,364,122.007332340676400,59.866868324688888,394458734.000000000000000,362,74,369,109
12,1,DE8,DE,MECKLENBURG-VORPOMMERN,DE8,13,23,4305881,430588100.000000000000000,1,13,12,4888995,488899500.000000000000000,20,356,336,70.714666715756508,35.038441010423099,345723652.000000000000000,321,57,323,63
13,1,DE5,DE,BREMEN,DE5,14,25,1112006,111200600.000000000000000,0,14,13,1197169,119716900.000000000000000,20,382,362,106.421109300357760,46.807696289902729,127404053.000000000000000,357,75,351,98
14,1,DE6,DE,HAMBURG,DE6,15,26,2166794,216679400.000000000000000,0,15,14,2320748,232074800.000000000000000,20,368,348,110.385059472204650,51.045778729449673,256175906.000000000000000,348,72,361,100
15,1,DE9,DE,NIEDERSACHSEN,DE9,16,28,21851059,2185105900.000000000000000,0,16,15,24423009,2442300900.000000000000000,20,377,357,80.119257541116255,33.893906720015764,1956753348.000000000000000,349,68,359,74
