FID,LEVL_CODE,NUTS_ID,CNTR_CODE,NUTS_NAME,FID_1,Rowid_,FID_12,COUNT,AREA,Rowid_1,FID_12_13,COUNT_1,AREA_1,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
0,2,DE13,DE,Freiburg,DE13,1,5,4999461,499946100.000000000000000,1,0,5615155,561515500.000000000000000,20,354,334,83.968515383813980,33.800478352853915,471496229.000000000000000,327,74,330,79
1,2,DE14,DE,Tübingen,DE14,5,15,4702564,470256400.000000000000000,2,1,5051385,505138500.000000000000000,20,357,337,80.442567929389668,32.083821618948754,406346381.000000000000000,325,71,317,76
2,2,DE21,DE,Oberbayern,DE21,7,21,9563795,956379500.000000000000000,3,2,10710431,1071043100.000000000000000,20,388,368,87.017150383584010,38.828632846937836,931991185.000000000000000,357,75,353,81
3,2,DE11,DE,Stuttgart,DE11,12,45,7440750,744075000.000000000000000,4,3,7847501,784750100.000000000000000,20,372,352,91.334021875244105,36.631306370241120,716743828.000000000000000,344,79,355,85
4,2,DE22,DE,Niederbayern,DE22,13,46,4306329,430632900.000000000000000,5,4,4768501,476850100.000000000000000,20,349,329,73.353771761817811,28.830965160457943,349787534.000000000000000,319,70,337,70
5,2,DE12,DE,Karlsruhe,DE12,14,52,5267761,526776100.000000000000000,6,5,5639879,563987900.000000000000000,20,368,348,93.817760274644186,38.460857623526664,529120816.000000000000000,348,81,356,87
6,2,DE73,DE,Kassel,DE73,16,55,3184951,318495100.000000000000000,7,6,3463205,346320500.000000000000000,20,333,313,82.379505400344485,30.866962309879863,285297115.000000000000000,309,72,313,78
7,2,DE40,DE,Brandenburg,DE40,17,57,8030794,803079400.000000000000000,8,7,8436789,843678900.000000000000000,20,360,340,70.954907844678829,32.924790075298155,598631586.000000000000000,336,59,337,64
8,2,DE93,DE,Lüneburg,DE93,18,58,5260457,526045700.000000000000000,9,8,5886983,588698300.000000000000000,20,356,336,69.663464290622215,29.268576025999145,410107630.000000000000000,328,60,320,65
9,2,DEB1,DE,Koblenz,DEB1,19,63,4441729,444172900.000000000000000,10,9,4815347,481534700.000000000000000,20,359,339,81.336549577839349,33.246625442394702,391663710.000000000000000,324,67,334,75
10,2,DE94,DE,Weser-Ems,DE94,20,65,7953983,795398300.000000000000000,11,10,9037098,903709800.000000000000000,20,377,357,82.520826375900754,33.704322302680382,745748795.000000000000000,349,72,333,77
11,2,DEB2,DE,Trier,DEB2,21,66,1734356,173435600.000000000000000,12,11,1950965,195096500.000000000000000,20,319,299,81.900050487835500,33.134180196581838,159784132.000000000000000,286,72,291,77
12,2,DE80,DE,Mecklenburg-Vorpommern,DE80,22,67,4305881,430588100.000000000000000,13,12,4884207,488420700.000000000000000,20,356,336,70.733788309954917,35.044860283000489,345478464.000000000000000,321,57,323,63
13,2,DEA3,DE,Münster,DEA3,23,68,5625216,562521600.000000000000000,14,13,6004809,600480900.000000000000000,20,371,351,92.251314238304658,35.863453975497656,553951522.000000000000000,344,81,349,87
14,2,DE24,DE,Oberfranken,DE24,24,70,3052838,305283800.000000000000000,15,14,3273915,327391500.000000000000000,20,338,318,84.554511647370191,33.686866154840409,276824284.000000000000000,314,75,333,80
15,2,DE27,DE,Schwaben,DE27,25,71,4864744,486474400.000000000000000,16,15,5442594,544259400.000000000000000,20,357,337,81.718190076276130,32.706576840475279,444758931.000000000000000,306,74,314,77
16,2,DE71,DE,Darmstadt,DE71,26,72,6791022,679102200.000000000000000,17,16,7403574,740357400.000000000000000,20,393,373,98.065838877277386,42.009101866847722,726037695.000000000000000,367,80,375,91
17,2,DE91,DE,Braunschweig,DE91,27,74,3987154,398715400.000000000000000,18,17,4281393,428139300.000000000000000,20,362,342,82.461268096621822,35.350089282424115,353049096.000000000000000,339,70,350,76
18,2,DEA4,DE,Detmold,DEA4,28,77,4696198,469619800.000000000000000,19,18,5215886,521588600.000000000000000,20,374,354,83.612127258916317,33.486717332059655,436111324.000000000000000,344,73,333,78
19,2,DE25,DE,Mittelfranken,DE25,29,80,4154838,415483800.000000000000000,20,19,4466853,446685300.000000000000000,20,377,357,86.229408265729816,37.383504923662748,385174091.000000000000000,351,76,336,80
20,2,DE72,DE,Gießen,DE72,30,83,2815173,281517300.000000000000000,21,20,3158248,315824800.000000000000000,20,336,316,82.593962855355244,32.032228684109555,260852218.000000000000000,309,73,309,78
21,2,DE92,DE,Hannover,DE92,31,88,4649465,464946500.000000000000000,22,21,5067075,506707500.000000000000000,20,361,341,86.278596034201186,35.365021523374672,437180117.000000000000000,336,75,345,80
22,2,DEA5,DE,Arnsberg,DEA5,32,90,6880264,688026400.000000000000000,23,22,7567918,756791800.000000000000000,20,390,370,97.134393237347439,38.651122811221342,735105123.000000000000000,354,79,360,91
23,2,DE23,DE,Oberpfalz,DE23,33,92,3733857,373385700.000000000000000,24,23,4023058,402305800.000000000000000,20,326,306,73.000374839239200,28.927739118946096,293684742.000000000000000,292,69,302,69
24,2,DE26,DE,Unterfranken,DE26,34,93,3564980,356498000.000000000000000,25,24,3796050,379605000.000000000000000,20,354,334,87.496203948841554,33.443967754276557,332139965.000000000000000,330,81,340,84
25,2,DEA1,DE,Düsseldorf,DEA1,35,98,8490536,849053600.000000000000000,26,25,8956351,895635100.000000000000000,20,380,360,100.788248696371990,42.457316452854108,902694932.000000000000000,359,81,372,94
26,2,DEB3,DE,Rheinhessen-Pfalz,DEB3,36,101,4960494,496049400.000000000000000,27,26,5454696,545469600.000000000000000,20,371,351,87.889750042898811,36.600792325504528,479411868.000000000000000,347,78,348,82
27,2,DED2,DE,Dresden,DED2,37,104,3902684,390268400.000000000000000,28,27,4235431,423543100.000000000000000,20,368,348,81.691421486975003,39.690177354368764,345998379.000000000000000,338,62,336,73
28,2,DE30,DE,Berlin,DE30,38,106,3143327,314332700.000000000000000,29,28,3233074,323307400.000000000000000,20,384,364,122.007332340676400,59.866868324688888,394458734.000000000000000,362,74,369,109
29,2,DE50,DE,Bremen,DE50,39,107,1112006,111200600.000000000000000,30,29,1197170,119717000.000000000000000,20,382,362,106.421087230719110,46.807682969307905,127404133.000000000000000,357,75,351,98
30,2,DE60,DE,Hamburg,DE60,40,108,2166794,216679400.000000000000000,31,30,2320748,232074800.000000000000000,20,368,348,110.385059472204650,51.045778729449673,256175906.000000000000000,348,72,361,100
31,2,DED4,DE,Chemnitz,DED4,41,110,3481930,348193000.000000000000000,32,31,3845279,384527900.000000000000000,20,339,319,85.671366108935132,38.477501005063615,329430305.000000000000000,316,67,322,77
32,2,DEA2,DE,Köln,DEA2,42,112,7928625,792862500.000000000000000,33,32,8557905,855790500.000000000000000,20,363,343,93.736603175660392,39.156478200300228,802188945.000000000000000,338,75,349,86
33,2,DEC0,DE,Saarland,DEC0,43,113,2651646,265164600.000000000000000,34,33,2875993,287599300.000000000000000,20,379,359,92.384041268528819,36.931181083634733,265695856.000000000000000,355,80,359,85
34,2,DEE0,DE,Sachsen-Anhalt,DEE0,44,114,6696348,669634800.000000000000000,35,34,7184025,718402500.000000000000000,20,351,331,77.181099453300902,36.298774905432111,554470948.000000000000000,328,63,342,70
35,2,DEG0,DE,Thüringen,DEG0,45,118,5846148,584614800.000000000000000,36,35,6449029,644902900.000000000000000,20,361,341,86.118317346688940,36.767812498731743,555379526.000000000000000,335,79,335,81
36,2,DED5,DE,Leipzig,DED5,46,121,2126475,212647500.000000000000000,37,36,2257903,225790300.000000000000000,20,379,359,86.054751244849754,44.488474942181348,194303281.000000000000000,340,67,333,74
