metro	2016 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
AT	106 	103 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AT001MC	328 	313 	313 	310 	308 	306 	304 	302 	300 	297 	: 	290 	287 	: 	280 	: 	278.7 	278.3 	277.8 	277.3 	277.3 	276.3 	273.7 	270.3 	: 
AT002M	182 	175 	175 	174 	172 	171 	171 	170 	168 	167 	: 	164 	163 	: 	159 	: 	160.1 	159.9 	159.9 	159.8 	159.6 	159.4 	158.6 	157.5 	: 
AT003M	182 	176 	175 	174 	174 	173 	173 	173 	172 	171 	: 	169 	168 	: 	167 	: 	166.5 	166.5 	166.4 	166.3 	166.1 	165.3 	163.8 	161.8 	: 
AT004M	214 	207 	206 	205 	204 	203 	203 	203 	202 	201 	: 	199 	198 	: 	196 	: 	196.0 	196.0 	195.7 	195.2 	194.5 	193.1 	190.4 	187.1 	: 
AT005M	148 	141 	139 	137 	136 	136 	135 	134 	133 	132 	: 	130 	129 	: 	131 	: 	128.0 	127.8 	127.4 	127.1 	127.1 	126.5 	125.6 	124.4 	: 
AT_NM	62 	61 	61 	61 	61 	61 	61 	61 	61 	61 	: 	60 	60 	: 	60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE	371 	365 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BE001MC	933 	911 	909 	899 	888 	872 	861 	850 	841 	833 	826 	821 	: 	: 	: 	674.0 	673.1 	670.7 	668.1 	666.2 	664.1 	661.3 	659.0 	657.5 	655.9 
BE002M	1080 	1062 	1060 	1049 	1000 	1028 	1021 	1012 	1004 	998 	993 	988 	: 	: 	: 	976.3 	977.1 	977.4 	978.1 	978.2 	978.6 	978.0 	975.1 	971.6 	968.9 
BE003M	499 	489 	489 	488 	483 	479 	474 	471 	467 	464 	461 	459 	: 	: 	: 	453.3 	452.9 	452.2 	451.5 	450.8 	450.2 	449.7 	448.9 	447.8 	446.5 
BE004M	770 	769 	773 	771 	770 	766 	764 	762 	760 	760 	759 	759 	: 	: 	: 	263.4 	263.9 	264.4 	264.7 	264.9 	265.1 	265.0 	264.5 	263.8 	263.2 
BE005M	597 	591 	588 	585 	576 	575 	571 	569 	565 	562 	559 	557 	: 	: 	: 	411.2 	410.9 	410.7 	410.4 	410.9 	411.7 	411.6 	410.2 	408.3 	407.1 
BE_NM	252 	249 	249 	247 	246 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BG	65 	66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BG001MC	157 	156 	158 	158 b	151 	149 	149 	149 	149 	149 	149 	148 	148 	149 	151 	150.4 	150.1 	151.9 	151.6 	141.8 	142.1 	142.4 	143.3 	144.8 	: 
BG002M	114 	115 	118 	118 b	118 	116 	116 	116 	117 	117 	118 	118 	119 	121 	122 	122.3 	121.5 	121.5 	122.2 	119.4 	119.6 	119.4 	119.9 	121.0 	: 
BG003M	125 	125 	126 	127 b	122 	119 	119 	118 	118 	119 	119 	119 	120 	122 	115 	115.9 	116.7 	117.0 	117.6 	118.4 	119.6 	120.5 	120.8 	120.7 	: 
BG004M	54 	54 	55 	55 b	55 	53 	53 	53 	53 	53 	54 	54 	54 	55 	55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
