unit	code	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
PER_KM2	AL01	: 	: 	: 	: 	: 	79.2 	78.5 	77.7 	77.0 	76.6 	76.1 	75.5 
PER_KM2	AL02	: 	: 	: 	: 	: 	219.6 	222.3 	225.1 	227.0 	229.2 	232.4 	234.8 
PER_KM2	AL03	: 	: 	: 	: 	: 	73.3 	72.4 	71.6 	70.7 	69.9 	68.9 	67.9 
PER_KM2	AT11	76.2 	76.8 	77.2 	77.4 	77.7 	78.0 	78.2 	78.5 	79.0 	79.4 b	79.7 	77.5 
PER_KM2	AT12	84.1 	84.5 	84.8 	85.0 	85.2 	85.5 	85.7 	86.2 	87.0 	87.7 b	88.2 	88.5 
PER_KM2	AT13	4212.3 	4230.2 	4253.9 	4289.3 	4323.5 	4377.6 	4440.5 	4511.5 	4604.5 	4693.4 b	4754.9 	4780.6 
PER_KM2	AT21	59.8 	59.7 	59.7 	59.5 	59.4 	59.4 	59.4 	59.5 	59.7 	59.9 b	59.9 	59.9 
PER_KM2	AT22	74.1 	74.1 	74.1 	74.2 	74.3 	74.4 	74.6 	75.0 	75.5 	76.0 b	76.2 	76.4 
PER_KM2	AT31	119.8 	120.1 	120.2 	120.3 	120.5 	120.9 	121.4 	122.2 	123.4 	124.6 b	125.4 	126.1 
PER_KM2	AT32	74.6 	74.6 	74.7 	74.8 	75.0 	75.3 	75.6 	76.1 	76.9 	77.7 b	78.1 	78.5 
PER_KM2	AT33	55.7 	56.0 	56.2 	56.4 	56.7 	57.0 	57.5 	58.0 	58.7 	59.3 b	59.8 	60.2 
PER_KM2	AT34	144.0 	144.6 	145.1 	145.6 	146.1 	146.7 	147.6 	148.8 	150.5 	152.5 b	154.0 	155.2 
PER_KM2	BE10	6458.7 	6574.6 	6702.1 	6957.2 	7131.1 	7194.2 	7260.7 	7319.4 	7408.0 	7454.6 b	7421.6 	7471.5 
PER_KM2	BE21	611.8 	617.3 	622.5 	620.7 	637.4 	641.3 	644.7 	648.0 	652.0 	655.9 b	657.7 	661.6 
PER_KM2	BE22	344.0 	346.7 	349.1 	352.3 	355.7 	357.4 	358.7 	360.0 	361.9 	363.6 b	364.5 	365.8 
PER_KM2	BE23	476.4 	480.1 	484.2 	486.2 	493.1 	495.4 	497.8 	500.4 	503.4 	506.7 b	505.8 	508.8 
PER_KM2	BE24	503.0 	506.9 	510.9 	516.6 	520.0 	523.1 	526.0 	528.8 	532.2 	536.0 b	536.7 	540.5 
PER_KM2	BE25	366.6 	368.1 	369.5 	371.3 	374.6 	375.7 	376.5 	377.3 	378.3 	379.5 b	377.9 	379.2 
PER_KM2	BE31	340.9 	343.3 	346.1 	351.4 	353.1 	355.6 	357.9 	360.2 	363.0 	365.5 b	365.2 	367.3 
PER_KM2	BE32	343.9 	345.2 	346.5 	348.8 	350.5 	352.0 	353.1 	353.9 	354.8 	355.4 b	353.4 	353.9 
PER_KM2	BE33	273.2 	274.9 	276.7 	278.8 	282.5 	283.7 	284.7 	285.5 	286.5 	287.4 b	288.5 	289.0 
PER_KM2	BE34	59.2 	59.8 	60.4 	61.2 	61.9 	62.3 	62.6 	62.9 	63.5 	64.0 b	63.8 	64.1 
PER_KM2	BE35	126.8 	127.7 	128.7 	130.1 	131.7 	132.4 	132.8 	133.4 	134.2 	134.9 b	135.0 	135.3 
PER_KM2	BG31	47.6 	46.7 	45.8 	46.0 	45.2 	44.5 	43.8 	43.1 	42.5 	41.2 b	40.5 	39.8 
PER_KM2	BG32	60.3 	59.5 	58.7 	59.0 	59.0 	58.4 	57.8 	56.5 	57.0 	55.3 b	54.6 	53.9 
