terrtypo,geo\time	2016 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
BRD_R,AT	120 	116 	115 	115 	114 	114 	114 	113 	113 	112 	: 	110 	110 	: 	109 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BRD_R,BE	318 	311 	316 	315 	312 	13370 	13292 	13198 	13118 	13053 	12987 	12938 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BRD_R,BG	46 	48 	49 	49 b	50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BRD_R,CY	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BRD_R,CZ	121 	121 	121 	121 	121 	120 	120 	119 	118 	118 	118 	118 	118 	118 	118 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BRD_R,DE	188 	185 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BRD_R,DK	84 	64 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BRD_R,EE	20 	21 	21 	21 	21 	22 	22 	22 	22 b	23 	23 	23 	23 	24 	24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BRD_R,EL	37 	35 	: 	: 	39 	39 	39 	39 	39 	39 	39 	39 	39 	38 	38 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BRD_R,ES	52 p	58 	83 	83 	82 	82 	81 	80 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BRD_R,FI	7 e	7 	7 	7 	7 	7 	7 	7 	7 	7 	7 	7 	7 	7 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BRD_R,FR	74 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BRD_R,HR	75 	76 	75 	76 	76 	76 	76 	76 	76 	76 	76 	76 	76 	76 	78 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BRD_R,HU	91 	91 	: 	: 	: 	: 	92 	92 	92 	92 	93 	93 	93 	93 	93 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BRD_R,IE	56 	35 	47 	46 	46 	46 	45 	44 	43 	41 	40 	39 	38 	37 	37 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
BRD_R,IT	271 	313 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
